Mã đề,Tên đề,Câu số,Phần thi,Câu trong phần,Chuyên đề,Mức độ,Dạng câu,Đề bài,Phương án,Đáp án,Điểm,Thời gian mục tiêu (giây),Lời giải
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,1,Toán,1,"Hàm số, phương trình & bất phương trình",2,Trắc nghiệm,Parabol y = x² − 4x + 3 cắt trục hoành tại các điểm có hoành độ bằng bao nhiêu?,A. 1 và 3 | B. −1 và −3 | C. 0 và 4 | D. 2 và 3,A,1,60,Giải x² − 4x + 3 = 0 ⟹ (x − 1)(x − 3) = 0 ⟹ x = 1 hoặc x = 3.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,2,Toán,2,"Hàm số, phương trình & bất phương trình",2,Trắc nghiệm,Đồ thị hàm số y = 2x − 3 đi qua điểm nào sau đây?,"A. (0; −3) | B. (0; 3) | C. (3; 0) | D. (−3; 0)",A,1,60,"Thay x = 0 vào hàm số được y = −3, nên đồ thị cắt trục tung tại (0; −3). Với hàm y = ax + b, hệ số b luôn là tung độ giao điểm với trục tung."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,3,Toán,3,Số học & tỉ lệ phần trăm,2,Trắc nghiệm,Hai số có tỉ số 3 : 5 và tổng bằng 96. Số lớn bằng:,A. 60 | B. 36 | C. 58 | D. 64,A,1,60,"Tổng số phần là 3 + 5 = 8 phần, mỗi phần bằng 96 : 8 = 12. Số lớn chiếm 5 phần nên bằng 5 × 12 = 60."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,4,Toán,4,"Đạo hàm, tích phân & khảo sát hàm số",2,Trắc nghiệm,Hàm số y = x³ − 3x + 2 đạt cực đại tại điểm có giá trị cực đại bằng:,A. 4 | B. 0 | C. 2 | D. −2,A,1,60,"y' = 3x² − 3 = 0 ⟹ x = ±1. Qua x = −1 đạo hàm đổi dấu từ dương sang âm nên đó là điểm cực đại; y(−1) = −1 + 3 + 2 = 4."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,5,Toán,5,"Đạo hàm, tích phân & khảo sát hàm số",2,Trắc nghiệm,Đạo hàm của hàm số y = sin x là:,A. cos x | B. −cos x | C. −sin x | D. tan x,A,1,60,"(sin x)' = cos x và (cos x)' = −sin x. Dấu trừ chỉ xuất hiện khi đạo hàm cosin, đây là chỗ hay nhầm nhất."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,6,Toán,6,"Đạo hàm, tích phân & khảo sát hàm số",2,Điền đáp án,Cho f(x) = x³. Giá trị f'(2) bằng bao nhiêu?,,12,1,60,"f'(x) = 3x², nên f'(2) = 3 × 4 = 12. Lưu ý phải đạo hàm trước rồi mới thay số, không thay số trước."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,7,Toán,7,Tổ hợp & xác suất,2,Trắc nghiệm,Có bao nhiêu cách chọn 3 người từ một nhóm 10 người để lập một tổ công tác (không phân biệt vai trò)?,A. 120 | B. 720 | C. 30 | D. 1000,A,1,60,"Không phân biệt vai trò nên dùng tổ hợp: C(10, 3) = 10!/(3!·7!) = 120."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,8,Toán,8,Tổ hợp & xác suất,2,Trắc nghiệm,Gieo đồng thời hai con xúc xắc cân đối. Xác suất để tổng số chấm bằng 7 là:,A. 1/6 | B. 1/12 | C. 7/36 | D. 1/9,A,1,60,"Có 36 kết quả đồng khả năng. Các cặp cho tổng 7 là (1,6), (2,5), (3,4), (4,3), (5,2), (6,1) — 6 kết quả. Xác suất = 6/36 = 1/6."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,9,Toán,9,Tổ hợp & xác suất,2,Trắc nghiệm,Tung một đồng xu ba lần. Số kết quả có thể xảy ra là:,A. 8 | B. 6 | C. 3 | D. 9,A,1,60,"Mỗi lần tung có 2 kết quả, ba lần độc lập nên theo quy tắc nhân có 2³ = 8 kết quả."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,10,Toán,10,Hình học tọa độ,2,Điền đáp án,"Khoảng cách giữa hai điểm A(1; 2) và B(4; 6) bằng bao nhiêu?",,5,1,60,AB = √((4−1)² + (6−2)²) = √(9 + 16) = √25 = 5. Đây là bộ ba Pythagoras 3–4–5 quen thuộc.
