Mã nhiệm vụ,Phiếu luyện,Tiêu đề,Phần thi,Chuyên đề,Giai đoạn,Cấp độ,Dạng,Điểm KN,Lời giao việc,Ràng buộc
NV-0001,PL-TOA-ARI-L1-001,Phiếu lý thuyết: Số học & tỉ lệ phần trăm — cấp 1,Toán,Số học & tỉ lệ phần trăm,1,1,Phiếu lý thuyết,32,"Hoàn thành 8 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 10 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0002,PL-TOA-ARI-L1-002,Phiếu dạng bài & đọc vị: Số học & tỉ lệ phần trăm — cấp 1,Toán,Số học & tỉ lệ phần trăm,1,1,Phiếu dạng bài & đọc vị,40,"Hoàn thành 8 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 9 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0003,PL-TOA-ARI-L1-003,Phiếu kỹ năng & phương pháp: Số học & tỉ lệ phần trăm — cấp 1,Toán,Số học & tỉ lệ phần trăm,1,1,Phiếu kỹ năng & phương pháp,44,"Hoàn thành 8 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0004,PL-TOA-ARI-L1-004,Phiếu luyện nâng cao: Số học & tỉ lệ phần trăm — cấp 1,Toán,Số học & tỉ lệ phần trăm,1,1,Phiếu luyện nâng cao,56,"Hoàn thành 8 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 8 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0005,PL-TOA-ARI-L1-005,Phiếu ôn thi: Số học & tỉ lệ phần trăm — cấp 1,Toán,Số học & tỉ lệ phần trăm,1,1,Phiếu ôn thi,48,"Hoàn thành 8 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0006,PL-TOA-ARI-L1-006,Phiếu lý thuyết: Số học & tỉ lệ phần trăm — cấp 1,Toán,Số học & tỉ lệ phần trăm,1,1,Phiếu lý thuyết,32,"Hoàn thành 8 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 10 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0007,PL-TOA-ARI-L1-007,Phiếu dạng bài & đọc vị: Số học & tỉ lệ phần trăm — cấp 1,Toán,Số học & tỉ lệ phần trăm,1,1,Phiếu dạng bài & đọc vị,40,"Hoàn thành 8 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 9 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0008,PL-TOA-ARI-L1-008,Phiếu kỹ năng & phương pháp: Số học & tỉ lệ phần trăm — cấp 1,Toán,Số học & tỉ lệ phần trăm,1,1,Phiếu kỹ năng & phương pháp,44,"Hoàn thành 8 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 8 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 7 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0009,PL-TOA-ARI-L1-009,Phiếu thi: Số học & tỉ lệ phần trăm — cấp 1,Toán,Số học & tỉ lệ phần trăm,1,1,Phiếu thi,72,"Hoàn thành 8 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 7 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 6 câu là hoàn thành; đúng từ 8 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 1: Nhận diện dạng bài và nhớ lại công thức nền.",Phải đạt từ 90% để mở khóa cấp độ tiếp theo của tuyến này. Không tạm dừng giữa chừng.
NV-0010,PL-TOA-ARI-L2-001,Phiếu lý thuyết: Số học & tỉ lệ phần trăm — cấp 2,Toán,Số học & tỉ lệ phần trăm,1,2,Phiếu lý thuyết,48,"Hoàn thành 10 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0011,PL-TOA-ARI-L2-002,Phiếu dạng bài & đọc vị: Số học & tỉ lệ phần trăm — cấp 2,Toán,Số học & tỉ lệ phần trăm,1,2,Phiếu dạng bài & đọc vị,60,"Hoàn thành 10 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0012,PL-TOA-ARI-L2-003,Phiếu kỹ năng & phương pháp: Số học & tỉ lệ phần trăm — cấp 2,Toán,Số học & tỉ lệ phần trăm,1,2,Phiếu kỹ năng & phương pháp,66,"Hoàn thành 10 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0013,PL-TOA-ARI-L2-004,Phiếu luyện nâng cao: Số học & tỉ lệ phần trăm — cấp 2,Toán,Số học & tỉ lệ phần trăm,1,2,Phiếu luyện nâng cao,84,"Hoàn thành 10 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0014,PL-TOA-ARI-L2-005,Phiếu ôn thi: Số học & tỉ lệ phần trăm — cấp 2,Toán,Số học & tỉ lệ phần trăm,1,2,Phiếu ôn thi,72,"Hoàn thành 10 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 11 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
