Mã phiếu,Loại phiếu,Mã loại,Phiếu lời giải,Phiếu hướng dẫn ôn chắc,Tiêu đề,Phần thi,Môn tự chọn,Chuyên đề,Giai đoạn,Cấp độ,Số câu,Thời gian (phút),Ngưỡng hoàn thành,Ngưỡng thành thạo,Điểm KN,Phiếu tiên quyết,Chặng 1,Chặng 1 (số câu),Chặng 2,Chặng 2 (số câu),Chặng 3,Chặng 3 (số câu),Mã câu hỏi,Mục tiêu,Đạt khi
PL-TOA-ARI-L1-001,Phiếu lý thuyết,LT,LG-TOA-ARI-L1-001,HD-TOA-ARI,Phiếu lý thuyết · Số học & tỉ lệ phần trăm · Cấp 1,Toán,,Số học & tỉ lệ phần trăm,1,1,8,10,70%,85%,32,,Chặng 1 — Khái niệm,2,Chặng 2 — Công thức,4,Chặng 3 — Điều kiện & ngoại lệ,2,q.exp.1 | q.sta.1 | q.seq.1 | q.geo.1 | q.coo.1 | q.coo.2 | q.com.1 | q.com.2,"Kiểm tra và chốt lại phần nền: định nghĩa, công thức, điều kiện áp dụng. Không phải để làm khó, mà để không còn chỗ hổng nào ở tầng dưới cùng. Nhận diện dạng bài và nhớ lại công thức nền.",Viết lại được công thức và nêu được điều kiện áp dụng mà không cần nhìn tài liệu.
PL-TOA-ARI-L1-002,Phiếu dạng bài & đọc vị,DB,LG-TOA-ARI-L1-002,HD-TOA-ARI,Phiếu dạng bài & đọc vị · Số học & tỉ lệ phần trăm · Cấp 1,Toán,,Số học & tỉ lệ phần trăm,1,1,8,9,70%,85%,40,PL-TOA-ARI-L1-001,Chặng 1 — Dấu hiệu nhận biết,2,Chặng 2 — Phân loại dạng,4,Chặng 3 — Dạng lai & dễ nhầm,2,q.alg.1 | q.seq.1 | q.coo.2 | q.cal.1 | q.exp.2 | q.com.1 | q.alg.2 | q.alg.3,Rèn phản xạ nhìn đề là biết dạng. Đây là mắt xích bị bỏ qua nhiều nhất: người học biết cách giải nhưng không nhận ra khi nào thì dùng cách nào. Nhận diện dạng bài và nhớ lại công thức nền.,Đọc xong đề trong 10 giây là nói được đây là dạng gì và sẽ đi theo hướng nào.
PL-TOA-ARI-L1-003,Phiếu kỹ năng & phương pháp,KN,LG-TOA-ARI-L1-003,HD-TOA-ARI,Phiếu kỹ năng & phương pháp · Số học & tỉ lệ phần trăm · Cấp 1,Toán,,Số học & tỉ lệ phần trăm,1,1,8,8,70%,85%,44,PL-TOA-ARI-L1-002,Chặng 1 — Quy trình chuẩn,2,Chặng 2 — Luyện thành thạo,4,Chặng 3 — Rút gọn thao tác,2,q.coo.1 | q.coo.2 | q.sta.2 | q.ari.2 | q.ari.3 | q.alg.2 | q.ari.1 | q.alg.1,"Chuẩn hóa quy trình giải: đi đúng thứ tự bước, không bỏ bước, và rút gọn được thao tác thừa. Nhận diện dạng bài và nhớ lại công thức nền.",Làm được trong thời gian mục tiêu mà không phải nghĩ xem bước tiếp theo là gì.
PL-TOA-ARI-L1-004,Phiếu luyện nâng cao,NC,LG-TOA-ARI-L1-004,HD-TOA-ARI,Phiếu luyện nâng cao · Số học & tỉ lệ phần trăm · Cấp 1,Toán,,Số học & tỉ lệ phần trăm,1,1,8,8,70%,88%,56,PL-TOA-ARI-L1-003,Chặng 1 — Khởi động,2,Chặng 2 — Nhiều bước,4,Chặng 3 — Câu phân loại,2,q.com.2 | q.sta.2 | q.com.3 | q.sta.3 | q.ari.1 | q.alg.1 | q.cal.3 | q.exp.3,"Xử lý câu nhiều bước, có bẫy và có yếu tố phân loại — nhóm câu quyết định khoảng cách giữa điểm khá và điểm dẫn đầu. Nhận diện dạng bài và nhớ lại công thức nền.","Nhận ra bẫy trước khi mắc, thay vì nhận ra sau khi xem đáp án."
PL-TOA-ARI-L1-005,Phiếu ôn thi,OT,LG-TOA-ARI-L1-005,HD-TOA-ARI,Phiếu ôn thi · Số học & tỉ lệ phần trăm · Cấp 1,Toán,,Số học & tỉ lệ phần trăm,1,1,8,8,70%,85%,48,PL-TOA-ARI-L1-004,Chặng 1 — Rà kiến thức,2,Chặng 2 — Trộn dạng,4,Chặng 3 — Mô phỏng đề,2,q.sta.2 | q.ari.2 | q.geo.2 | q.geo.3 | q.coo.3 | q.cal.2 | q.cal.4 | q.exp.2,"Trộn mọi dạng của chuyên đề theo đúng phân bố của đề thật, để kiểm tra phản xạ nhận diện khi không biết trước dạng bài. Nhận diện dạng bài và nhớ lại công thức nền.","Kết quả ở phiếu ôn thi không thấp hơn phiếu kỹ năng — nghĩa là bạn nhận dạng được, không chỉ giải được."
PL-TOA-ARI-L1-006,Phiếu lý thuyết,LT,LG-TOA-ARI-L1-006,HD-TOA-ARI,Phiếu lý thuyết · Số học & tỉ lệ phần trăm · Cấp 1,Toán,,Số học & tỉ lệ phần trăm,1,1,8,10,70%,85%,32,PL-TOA-ARI-L1-005,Chặng 1 — Khái niệm,2,Chặng 2 — Công thức,4,Chặng 3 — Điều kiện & ngoại lệ,2,q.alg.2 | q.alg.3 | q.geo.3 | q.coo.3 | q.cal.2 | q.cal.3 | q.sta.3 | q.alg.4,"Kiểm tra và chốt lại phần nền: định nghĩa, công thức, điều kiện áp dụng. Không phải để làm khó, mà để không còn chỗ hổng nào ở tầng dưới cùng. Nhận diện dạng bài và nhớ lại công thức nền.",Viết lại được công thức và nêu được điều kiện áp dụng mà không cần nhìn tài liệu.
PL-TOA-ARI-L1-007,Phiếu dạng bài & đọc vị,DB,LG-TOA-ARI-L1-007,HD-TOA-ARI,Phiếu dạng bài & đọc vị · Số học & tỉ lệ phần trăm · Cấp 1,Toán,,Số học & tỉ lệ phần trăm,1,1,8,9,70%,85%,40,PL-TOA-ARI-L1-006,Chặng 1 — Dấu hiệu nhận biết,2,Chặng 2 — Phân loại dạng,4,Chặng 3 — Dạng lai & dễ nhầm,2,q.geo.2 | q.geo.3 | q.cal.3 | q.exp.3 | q.com.3 | q.sta.3 | q.com.4 | q.sta.4,Rèn phản xạ nhìn đề là biết dạng. Đây là mắt xích bị bỏ qua nhiều nhất: người học biết cách giải nhưng không nhận ra khi nào thì dùng cách nào. Nhận diện dạng bài và nhớ lại công thức nền.,Đọc xong đề trong 10 giây là nói được đây là dạng gì và sẽ đi theo hướng nào.
PL-TOA-ARI-L1-008,Phiếu kỹ năng & phương pháp,KN,LG-TOA-ARI-L1-008,HD-TOA-ARI,Phiếu kỹ năng & phương pháp · Số học & tỉ lệ phần trăm · Cấp 1,Toán,,Số học & tỉ lệ phần trăm,1,1,8,8,70%,85%,44,PL-TOA-ARI-L1-007,Chặng 1 — Quy trình chuẩn,2,Chặng 2 — Luyện thành thạo,4,Chặng 3 — Rút gọn thao tác,2,q.cal.2 | q.cal.3 | q.sta.3 | q.alg.4 | q.cal.4 | q.com.4 | q.ari.3 | q.alg.2,"Chuẩn hóa quy trình giải: đi đúng thứ tự bước, không bỏ bước, và rút gọn được thao tác thừa. Nhận diện dạng bài và nhớ lại công thức nền.",Làm được trong thời gian mục tiêu mà không phải nghĩ xem bước tiếp theo là gì.
PL-TOA-ARI-L1-009,Phiếu thi,PT,LG-TOA-ARI-L1-009,HD-TOA-ARI,Phiếu thi · Số học & tỉ lệ phần trăm · Cấp 1,Toán,,Số học & tỉ lệ phần trăm,1,1,8,7,70%,90%,72,PL-TOA-ARI-L1-008,Chặng 1 — Phần dễ ăn điểm,2,Chặng 2 — Phần lõi,4,Chặng 3 — Phần phân loại,2,q.sta.1 | q.sta.3 | q.sta.4 | q.exp.1 | q.ari.2 | q.ari.3 | q.alg.3 | q.seq.2,"Bài kiểm tra chốt chuyên đề ở cấp độ này, làm trong điều kiện thời gian như phòng thi. Nhận diện dạng bài và nhớ lại công thức nền.","Đạt 90% trong đúng thời gian quy định, không cần đến phút bù."
PL-TOA-ARI-L2-001,Phiếu lý thuyết,LT,LG-TOA-ARI-L2-001,HD-TOA-ARI,Phiếu lý thuyết · Số học & tỉ lệ phần trăm · Cấp 2,Toán,,Số học & tỉ lệ phần trăm,1,2,10,15,70%,85%,48,PL-TOA-ARI-L1-009,Chặng 1 — Khái niệm,3,Chặng 2 — Công thức,5,Chặng 3 — Điều kiện & ngoại lệ,2,q.exp.1 | q.sta.1 | q.ari.1 | q.geo.1 | q.coo.1 | q.coo.2 | q.cal.1 | q.exp.2 | q.sta.2 | q.ari.2,"Kiểm tra và chốt lại phần nền: định nghĩa, công thức, điều kiện áp dụng. Không phải để làm khó, mà để không còn chỗ hổng nào ở tầng dưới cùng. Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Viết lại được công thức và nêu được điều kiện áp dụng mà không cần nhìn tài liệu.
