ma_phieu,tuyen,lop,so_thu_tu,loai,nhom_ma,nhom_ten,ten_phieu,hoc_ky,tuan,moc_kiem_tra,thoi_luong_phut,thang_diem
GITA-T1-L3-P001,T1,3,1,CD,B,Phép tính & Tính nhanh,"Ôn tập cộng, trừ trong phạm vi 1000 — đặt tính và tính nhẩm",HK1,1,Giữa kỳ I,90,100
GITA-T1-L3-P002,T1,3,2,CD,A,Số học & Cấu tạo số,"Ôn tập cấu tạo số có ba chữ số: đọc, viết, so sánh",HK1,1,Giữa kỳ I,90,100
GITA-T1-L3-P003,T1,3,3,CD,F,Hình học,"Nhận dạng hình: điểm, đoạn thẳng, đường gấp khúc, tam giác, tứ giác",HK1,1,Giữa kỳ I,90,100
GITA-T1-L3-P004,T1,3,4,CD,B,Phép tính & Tính nhanh,"Bảng nhân, bảng chia 2 – 5: thuộc có hệ thống và vận dụng",HK1,2,Giữa kỳ I,90,100
GITA-T1-L3-P005,T1,3,5,CD,D,Toán điển hình & Giải toán có lời văn,"Bài toán giải bằng một phép tính: thêm – bớt, nhiều hơn – ít hơn",HK1,2,Giữa kỳ I,90,100
GITA-T1-L3-P006,T1,3,6,CD,B,Phép tính & Tính nhanh,"Bảng nhân, bảng chia 6 và 7",HK1,2,Giữa kỳ I,90,100
GITA-T1-L3-P007,T1,3,7,CD,E,Đại lượng – Đo lường – Thời gian,"Đơn vị đo độ dài mm, cm, dm, m, km — đổi và tính toán",HK1,3,Giữa kỳ I,90,100
GITA-T1-L3-P008,T1,3,8,CD,G,Suy luận logic & Toán đếm,"Đếm hình cơ bản: đoạn thẳng, tam giác, tứ giác",HK1,3,Giữa kỳ I,90,100
GITA-T1-L3-P009,T1,3,9,CD,B,Phép tính & Tính nhanh,"Bảng nhân, bảng chia 8 và 9",HK1,3,Giữa kỳ I,90,100
GITA-T1-L3-P010,T1,3,10,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 1 — Tổng ôn phiếu P001–P009,HK1,4,Giữa kỳ I,90,100
