ma,ho,lop,moc,moc_ten,pham_vi,tuan,ten,thoi_luong,thang_diem,bien_the
GITA-ON-L3-GK1,ON,3,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Phiếu ôn tập Giữa kỳ I — Lớp 3,90,100,
GITA-MOC-L3-GK1-D01,MOC,3,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 3 — đề 01,60,10,Bản chuẩn — dùng cho lần thi chính thức
GITA-MOC-L3-GK1-D02,MOC,3,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 3 — đề 02,60,10,"Đổi số liệu, giữ nguyên dạng"
GITA-MOC-L3-GK1-D03,MOC,3,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 3 — đề 03,60,10,Đổi bối cảnh sang mua bán
GITA-MOC-L3-GK1-D04,MOC,3,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 3 — đề 04,60,10,Đổi bối cảnh sang trường lớp
GITA-MOC-L3-GK1-D05,MOC,3,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 3 — đề 05,60,10,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-MOC-L3-GK1-D06,MOC,3,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 3 — đề 06,60,10,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-MOC-L3-GK1-D07,MOC,3,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 3 — đề 07,60,10,Thêm một bẫy đơn vị đo
GITA-MOC-L3-GK1-D08,MOC,3,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 3 — đề 08,60,10,Thêm một bẫy dữ kiện thừa
GITA-MOC-L3-GK1-D09,MOC,3,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 3 — đề 09,60,10,Thiên về hình học và đại lượng
GITA-MOC-L3-GK1-D10,MOC,3,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 3 — đề 10,60,10,Thiên về suy luận và toán đếm
GITA-ON-L3-CK1,ON,3,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Phiếu ôn tập Cuối kỳ I — Lớp 3,90,100,
GITA-MOC-L3-CK1-D01,MOC,3,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 3 — đề 01,60,10,Bản chuẩn — dùng cho lần thi chính thức
GITA-MOC-L3-CK1-D02,MOC,3,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 3 — đề 02,60,10,"Đổi số liệu, giữ nguyên dạng"
