tuan,ngay,thu,gio,nhom,ma_bai,nghi_thuc,tru_cot,tieu_de,dinh_dang,cta,tang_gia_tri,muc_cham_soc,chu_de_thang,nguoi_phu_trach,trang_thai
1,2026-09-07,Thu Hai,05:45,G1 - Cộng đồng GITA365,G1-W01-T2-KHOI,Khởi Nguyên,Ket noi & nghi thuc,Ba dòng mở tuần: bạn muốn xong điều gì trước Chủ nhật?,Bai check-in 3 dong,Viet 3 dong cam ket tuan,T0,CARE-2,NEN_MONG,chua phan cong,chua soan
1,2026-09-07,Thu Hai,11:45,G1 - Cộng đồng GITA365,G1-W01-N1,Bai nhe,Nhan thuc & tu duy,Một câu để mang theo hôm nay,Anh trich dan co ngu canh,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
1,2026-09-07,Thu Hai,11:45,G2 - Gia Đình Thịnh Vượng,G2-W01-N1,Bai nhe,Ky nang cha me - vo chong,Nhà bạn xử lý thế nào khi hai đứa tranh nhau đồ chơi?,Cau hoi 1 dong,Tra loi 1 dong,T0,CARE-1,KET_NOI,chua phan cong,chua soan
1,2026-09-07,Thu Hai,19:45,G2 - Gia Đình Thịnh Vượng,G2-W01-T2-NHIE,Nhiệm Vụ Gia Đình Tuần,Hoat dong gia dinh,Nhiệm vụ tuần: mỗi tối tắt điện thoại 30 phút,Bai nhiem vu + cach cham diem,Binh luan Ma gia dinh + cam ket,T0,CARE-3,KET_NOI,chua phan cong,chua soan
1,2026-09-08,Thu Ba,11:45,G1 - Cộng đồng GITA365,G1-W01-N2,Bai nhe,Bang chung & cau chuyen,Hậu trường: một buổi làm việc của đội GITA365,Hau truong,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
1,2026-09-08,Thu Ba,11:45,G2 - Gia Đình Thịnh Vượng,G2-W01-N2,Bai nhe,Thi dua & vinh danh,Bảng xếp hạng giữa tuần: nhà bạn đang ở đâu?,Nhac bang xep hang,Tra loi 1 dong,T0,CARE-1,KET_NOI,chua phan cong,chua soan
1,2026-09-08,Thu Ba,17:30,G2 - Gia Đình Thịnh Vượng,G2-W01-T3-BAN_,Bàn Ăn Yêu Thương,Hoat dong gia dinh,Câu hỏi bàn ăn: hôm nay điều gì làm con cười?,Cau hoi ban an + anh mam com,Chup anh mam com va ke lai,T0,CARE-2,KET_NOI,chua phan cong,chua soan
1,2026-09-08,Thu Ba,19:45,G1 - Cộng đồng GITA365,G1-W01-T3-GIAI,Giải Mã,Nhan thuc & tu duy,Vì sao càng cố gắng bạn càng thấy mệt?,Bai dai + so do,Tai cong cu tren web app,T1,CARE-3,NEN_MONG,chua phan cong,chua soan
1,2026-09-09,Thu Tu,05:45,G1 - Cộng đồng GITA365,G1-W01-T4-CHO_,Cho Là Nhận,Thuc hanh co huong dan,Hôm nay giúp một người trong nhóm này,Thu thach trong ngay,"Bao lai da giup ai, viec gi",T0,CARE-2,NEN_MONG,chua phan cong,chua soan
1,2026-09-09,Thu Tu,11:45,G1 - Cộng đồng GITA365,G1-W01-N3,Bai nhe,Nhan thuc & tu duy,Trả lời một câu hỏi thật của thành viên,Tra loi cau hoi that,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
1,2026-09-09,Thu Tu,11:45,G2 - Gia Đình Thịnh Vượng,G2-W01-N3,Bai nhe,Moi nhan cong cu tang 1,Tặng cả nhà bộ 30 câu hỏi bàn ăn,Moi nhan bo cong cu tang 1,Tra loi 1 dong,T0,CARE-1,KET_NOI,chua phan cong,chua soan
1,2026-09-09,Thu Tu,19:45,G2 - Gia Đình Thịnh Vượng,G2-W01-T4-VIEC,Việc Tử Tế Của Gia Đình,Cau chuyen gia dinh,Việc tử tế nhỏ nhất nhà mình làm tuần này,Ke lai 3 dong,Ke viec tu te va gan the mot gia dinh khac,T0,CARE-2,KET_NOI,chua phan cong,chua soan
1,2026-09-10,Thu Nam,11:45,G1 - Cộng đồng GITA365,G1-W01-N4,Bai nhe,Thuc hanh co huong dan,Thử ngay 5 phút: viết ra ba điều đang chiếm đầu bạn,Thu ngay 5 phut,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
1,2026-09-10,Thu Nam,20:00,G1 - Cộng đồng GITA365,G1-W01-T5-HOI_,Hỏi & Đáp Cùng Cố Vấn,Ket noi & nghi thuc,Hỏi gì cũng được: chuyện bạn chưa dám nói ra,Livestream 30-45 phut,Dat cau hoi truoc gio live,T2,CARE-3,NEN_MONG,chua phan cong,chua soan
1,2026-09-10,Thu Nam,20:00,G2 - Gia Đình Thịnh Vượng,G2-W01-T5-CHA_,Cha Mẹ Tỉnh Thức,Ky nang cha me - vo chong,Ba câu nói thay cho một tiếng quát,Bai ky nang + kich ban noi,Thu toi nay va ke lai,T1,CARE-3,KET_NOI,chua phan cong,chua soan
1,2026-09-11,Thu Sau,11:45,G1 - Cộng đồng GITA365,G1-W01-N5,Bai nhe,Bang chung & cau chuyen,Sai lầm tôi từng trả giá đắt,Sai lam cua toi,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
1,2026-09-11,Thu Sau,19:45,G1 - Cộng đồng GITA365,G1-W01-T6-BANG,Bằng Chứng,Bang chung & cau chuyen,Từ chỗ không dám nhìn vào sổ chi tiêu,Cau chuyen chuyen hoa (UGC),Ke cau chuyen cua ban,T1,CARE-3,NEN_MONG,chua phan cong,chua soan
